#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
42202 gds -3.971 -4.652 3.6400 phot 3.2920 3.7060 -8.301 -8.559 -8.072 0.821 0.635 0.981 0.142 0.078 0.256 9.128 9.049 9.199 0.343 0.227 0.470
42771 gds -4.251 -4.644 3.9600 phot 1.1220 4.0900 -8.571 -8.831 -8.322 -0.365 -0.552 -0.156 0.247 0.149 0.501 8.209 8.132 8.297 0.187 0.085 0.326
42899 gds -3.208 -0.198 3.7600 phot 3.3860 4.0000 -8.535 -8.758 -8.358 0.973 0.842 1.081 0.249 0.164 0.419 9.518 9.446 9.615 0.651 0.531 0.805
43028 gds -3.114 -3.742 3.8200 phot 3.3570 3.9380 -8.339 -8.493 -8.180 0.648 0.548 0.757 0.147 0.098 0.210 8.998 8.934 9.055 0.162 0.113 0.231
43082 gds -3.210 0.045 3.0600 phot 1.6380 3.1610 -8.819 -9.078 -8.247 1.401 1.263 1.754 0.523 0.135 0.971 10.253 10.032 10.360 1.734 1.518 1.993
43334 gds -6.169 -3.016 4.6100 phot 4.2850 4.7220 -7.942 -7.956 -7.930 0.260 0.016 0.503 0.019 0.012 0.034 8.249 8.120 8.393 0.155 0.088 0.224
44282 gds -2.780 0.179 1.4400 phot 1.3200 1.5050 -9.280 -9.395 -9.029 1.219 1.136 1.348 1.602 0.856 2.177 10.499 10.400 10.554 1.095 0.952 1.284
44305 gds -2.966 -4.538 3.6600 phot 3.4510 3.7000 -8.407 -8.577 -8.207 0.546 0.427 0.678 0.174 0.109 0.254 8.967 8.900 9.023 0.218 0.145 0.311
44474 gds -0.689 -1.880 3.5500 phot 3.1770 3.7070 -8.881 -9.034 -8.598 0.323 0.219 0.494 0.601 0.285 0.858 9.207 9.096 9.266 0.182 0.084 0.320
44988 gds -6.335 -3.571 4.8200 phot 4.5850 4.8300 -7.960 -8.329 -7.917 0.744 0.389 0.898 0.055 0.026 0.155 8.798 8.633 8.977 0.360 0.234 0.482
45658 gds -6.331 -3.227 4.7000 phot 4.6030 4.7620 -7.964 -7.971 -7.956 0.558 0.432 0.692 0.008 0.006 0.011 8.575 8.512 8.642 0.250 0.189 0.327
48515 gds -6.181 -2.837 0.8100 phot 0.8510 3.0000 -9.611 -19.304 -9.317 -1.977 -10.214 -1.847 2.835 1.577 4.356 7.640 7.473 7.949 0.824 0.512 1.111
48744 gds -6.161 -3.228 4.3900 phot 4.1410 4.4340 -7.935 -7.977 -7.922 -0.105 -0.319 0.076 0.036 0.023 0.057 7.876 7.782 7.961 0.211 0.135 0.314
49649 gds -6.385 -3.119 4.8300 phot 4.6010 4.8460 -7.987 -8.233 -7.925 0.004 -0.226 0.132 0.060 0.034 0.117 8.050 7.921 8.173 0.142 0.077 0.265
49658 gds -5.934 -2.906 4.2400 phot 4.0380 4.4380 -8.490 -8.630 -8.260 -0.130 -0.238 0.029 0.209 0.122 0.315 8.357 8.274 8.433 0.094 0.033 0.203
49788 gds -7.128 -2.397 4.8500 phot 4.1470 4.8530 -8.729 -8.895 -8.376 0.090 -0.088 0.265 0.405 0.182 0.599 8.787 8.608 8.917 0.615 0.382 0.891
49934 gds -0.439 -0.391 2.8700 phot 2.6620 2.9890 -8.644 -8.793 -8.444 -0.006 -0.108 0.129 0.306 0.193 0.442 8.642 8.574 8.698 0.113 0.053 0.195
49949 gds -6.156 -3.358 4.9700 phot 4.3030 5.1000 -8.333 -8.535 -8.080 -0.205 -0.313 -0.077 0.142 0.081 0.239 8.147 7.990 8.286 0.064 0.024 0.134
50460 gds -5.997 -2.627 4.8100 phot 4.6590 4.8290 -7.979 -7.988 -7.961 -0.635 -0.845 -0.363 0.004 0.003 0.009 7.463 7.336 7.640 0.221 0.131 0.354
50957 gds -3.093 0.006 1.3300 phot 1.2840 1.9770 -9.426 -9.678 -9.362 0.612 0.423 0.666 2.321 1.983 2.549 10.053 10.012 10.103 1.770 1.585 1.933
51656 gds -3.036 -0.020 2.3300 phot 2.2180 2.6900 -11.443 -35.618 -9.177 -2.238 -26.264 -0.115 0.913 0.640 1.376 9.071 9.029 9.107 0.275 0.093 0.451
52125 gds -6.182 -3.119 4.3100 phot 4.0830 4.3180 -7.940 -7.954 -7.930 -0.540 -0.755 -0.305 0.019 0.012 0.030 7.446 7.335 7.591 0.149 0.103 0.209
52511 gds -5.976 -2.696 4.2500 phot 4.1120 4.2890 -7.940 -8.023 -7.921 0.151 -0.059 0.308 0.044 0.029 0.068 8.132 8.029 8.234 0.112 0.059 0.178
54300 gds -6.104 -2.603 4.8500 phot 4.5140 5.4510 -8.321 -8.528 -8.103 0.066 -0.079 0.214 0.146 0.087 0.241 8.391 8.278 8.508 0.111 0.044 0.196
54700 gds -6.369 -2.800 5.3600 phot 5.3000 5.4940 -8.475 -8.654 -8.267 -0.226 -0.353 -0.089 0.197 0.125 0.298 8.257 8.155 8.352 0.111 0.052 0.194
54968 gds -1.248 -0.039 1.8300 phot 1.7560 3.9690 -9.377 -24.769 -9.130 -1.408 -18.872 -1.284 1.766 1.038 2.404 7.992 7.860 8.204 0.224 0.077 0.405
55325 gds -6.153 -3.104 4.3500 phot 4.1090 4.3500 -7.938 -8.040 -7.920 -0.262 -0.464 -0.130 0.047 0.031 0.072 7.717 7.632 7.811 0.189 0.121 0.278
56438 gds -6.161 -3.051 4.7000 phot 4.5570 4.7530 -7.925 -7.936 -7.918 0.289 0.135 0.428 0.035 0.027 0.045 8.239 8.173 8.292 0.141 0.093 0.205
56467 gds -6.168 -3.043 4.8500 phot 4.1300 4.8200 -7.942 -8.014 -7.924 -0.258 -0.596 -0.047 0.036 0.017 0.066 7.729 7.538 7.906 0.122 0.059 0.223
